 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
     1    3.17779584    2.09499187   -0.05553009    0.09317355   -0.02316711
     2    2.09499187    3.44909908    1.17827553    0.04534204    0.04649939
     3   -0.05553009    1.17827553    3.79549949    1.61534930    0.03338306
     4    0.09317355    0.04534204    1.61534930    3.83550081    1.17737919
     5   -0.02316711    0.04649939    0.03338306    1.17737919    3.66026527
     6    0.03461350   -0.01726025    0.10027104   -0.04287969    2.35250020
     7    1.00063391   -0.00031995    0.00923887    0.03056063   -0.00049578
     8    0.01228834    0.00705526    0.90988120   -0.01017407    0.00555528
     9    0.00477809    0.00501023   -0.00931668    0.91349309    0.00339283
    10    0.00019175    0.00080159    0.00178431    0.00187423   -0.00483505
    11   -0.01194153    0.02483695    0.00030561    0.00204058   -0.00004273
    12   -0.01113115    0.02526813    0.00108002    0.00088829    0.00015625
    13    0.00007320    0.00012087    0.00065020    0.00025740    0.01640814
    14    0.00075644    0.00020589    0.00289464    0.00022258    0.01763926
    15    0.00096597    0.00019320    0.00365484    0.00023063    0.01394709
    16    0.00625025    0.00319988   -0.00000192    0.00089856    0.00004205
    17    0.00314015    0.00296439    0.00031775    0.00077919    0.00001929
    18    0.00572476    0.00718028    0.00013517    0.00165273    0.00003004
    19    0.00656559    0.00424880    0.00000706    0.00052501   -0.00002121
    20    0.00044262    0.00741063    0.00037986    0.00192813   -0.00011948
    21    0.00208307    0.00251792   -0.00000319    0.00035113    0.00065113
    22    0.00009117    0.00011958    0.00020161    0.00005936    0.00152126
    23    0.00002238    0.00004344    0.00012081    0.00019823    0.00734037
    24    0.00007498    0.00003263    0.00017250    0.00002099    0.00146630
    25    0.00001550    0.00000882    0.00006697    0.00001637    0.00155539
    26    0.00036289    0.00012361    0.00139039    0.00006040    0.00680787
    27    0.00011553    0.00003303    0.00041266   -0.00002313    0.00163417
    28    0.00083812    0.00084223    0.00000530    0.00005104    0.00000312
    29   -0.00061539   -0.00004222    0.00006970    0.00006957    0.00002211
    30    0.00093059    0.00103236    0.00004595    0.00028070    0.00000602
    31    0.00149504    0.00116257    0.00003909    0.00018516    0.00000662
    32    0.00046644    0.00045639    0.00001753    0.00018642    0.00000237
    33    0.00142783    0.00114090    0.00009423    0.00024133    0.00001546
    34    0.00759951    0.00540362    0.00009338    0.00019336    0.00096447
    35    0.00013909    0.00011960    0.00000372    0.00006447   -0.00000445
    36   -0.00007104    0.00007987    0.00000907    0.00000402    0.00000233
             6             7             8             9            10      
     1    0.03461350    1.00063391    0.01228834    0.00477809    0.00019175
     2   -0.01726025   -0.00031995    0.00705526    0.00501023    0.00080159
     3    0.10027104    0.00923887    0.90988120   -0.00931668    0.00178431
     4   -0.04287969    0.03056063   -0.01017407    0.91349309    0.00187423
     5    2.35250020   -0.00049578    0.00555528    0.00339283   -0.00483505
     6    3.49869940    0.00939662    0.00482006    0.01455219    1.04968758
     7    0.00939662    2.90586194    0.00044015    0.00004780    0.00027244
     8    0.00482006    0.00044015    0.93325215    0.00145212    0.00000583
     9    0.01455219    0.00004780    0.00145212    0.93527309    0.00027468
    10    1.04968758    0.00027244    0.00000583    0.00027468    3.92722435
    11    0.00039681    0.92897452    0.00049546    0.00004329    0.00001946
    12    0.00043276    0.94561715    0.00065017    0.00011487    0.00037048
    13   -0.00269115    0.00006675    0.00015361    0.00049732    0.99243003
    14   -0.01422904    0.00034055    0.00003100    0.00031120    0.91899294
    15   -0.00455380    0.00035152    0.00000380    0.00012852    0.99205568
    16    0.00025618   -0.00329353    0.00006577    0.00000233    0.00001911
    17    0.00024643   -0.00781007    0.00006809    0.00000692    0.00000843
    18    0.00050564   -0.00742247    0.00002191    0.00000376    0.00001355
    19    0.00010919   -0.00810436    0.00008530    0.00003352    0.00002536
    20    0.00062004   -0.01029595    0.00006895    0.00002325    0.00017102
    21    0.00049125   -0.00737821    0.00006691    0.00003002    0.00039117
    22    0.00089853    0.00011973    0.00000351    0.00002192   -0.00556820
    23    0.00519649    0.00002701    0.00005956    0.00021290   -0.00424010
    24   -0.00112317   -0.00000542    0.00000742    0.00004496   -0.00460895
    25    0.00072239    0.00000613    0.00000456    0.00002789   -0.00525772
    26    0.00495214    0.00018717    0.00000022    0.00003213   -0.00392945
    27   -0.00074655    0.00005458    0.00000135    0.00000466   -0.00385039
    28    0.00002474    0.00024856    0.00000648    0.00000217    0.00001249
    29    0.00002320    0.00029722    0.00000587    0.00000238    0.00002617
    30    0.00008105    0.00552360    0.00002218    0.00000059    0.00000289
    31    0.00005391    0.00644823    0.00001333    0.00000646   -0.00000101
    32    0.00004707    0.00404626    0.00000493    0.00000087    0.00000193
    33    0.00006617    0.00915609    0.00001716    0.00000308    0.00010473
    34    0.00120198   -0.00147416    0.00006806    0.00003372   -0.00001970
    35    0.00001505    0.00011900    0.00000035   -0.00000008   -0.00000222
    36    0.00000083    0.00028737    0.00000201    0.00000010   -0.00000070
            11            12            13            14            15      
     1   -0.01194153   -0.01113115    0.00007320    0.00075644    0.00096597
     2    0.02483695    0.02526813    0.00012087    0.00020589    0.00019320
     3    0.00030561    0.00108002    0.00065020    0.00289464    0.00365484
     4    0.00204058    0.00088829    0.00025740    0.00022258    0.00023063
     5   -0.00004273    0.00015625    0.01640814    0.01763926    0.01394709
     6    0.00039681    0.00043276   -0.00269115   -0.01422904   -0.00455380
     7    0.92897452    0.94561715    0.00006675    0.00034055    0.00035152
     8    0.00049546    0.00065017    0.00015361    0.00003100    0.00000380
